iter	Passed	Remaining
141	14802	85893
142	14894	85720
143	14995	85601
144	15099	85495
145	15191	85321
146	15282	85143
147	15378	84998
148	15421	84560
149	15517	84417
150	15613	84269
151	15718	84175
152	15820	84066
153	15904	83858
154	16001	83726
155	16126	83731
156	16231	83639
157	16327	83495
158	16441	83449
159	16538	83312
160	16637	83187
161	16727	83019
162	16859	83058
163	16957	82924
164	17057	82805
165	17153	82668
166	17262	82592
167	17373	82524
168	17467	82374
169	17560	82222
170	17647	82046
171	17741	81898
172	17842	81785
173	17954	81724
174	18074	81698
175	18158	81506
176	18246	81337
177	18334	81167
178	18458	81155
179	18579	81129
180	18688	81053
181	18798	80979
182	18891	80832
183	18987	80696
184	19102	80645
185	19180	80435
186	19260	80234
187	19345	80055
188	19447	79950
189	19540	79807
190	19649	79728
191	19732	79548
192	19837	79452
193	19930	79310
194	20012	79125
195	20115	79026
196	20219	78926
197	20322	78825
198	20420	78705
199	20533	78643
200	20640	78555
201	20770	78558
202	20894	78533
203	20996	78427
204	21086	78276
205	21172	78111
206	21260	77956
207	21368	77869
208	21477	77792
209	21582	77696
210	21672	77550
211	21752	77366
212	21870	77315
213	21985	77257
214	22139	77333
215	22274	77342
216	22384	77264
217	22500	77204
218	22589	77050
219	22702	76980
220	22806	76883
221	22892	76722
222	22974	76548
223	23055	76371
224	23145	76226
225	23231	76067
226	23322	75927
227	23432	75847
228	23525	75711
229	23628	75611
230	23723	75485
231	23821	75367
232	23922	75259
233	24015	75124
234	24102	74974
235	24201	74860
236	24294	74728
237	24386	74593
238	24483	74474
239	24585	74370
240	24684	74258
241	24778	74129
242	24878	74022
243	24975	73903
244	25071	73782
245	25165	73653
246	25266	73549
247	25359	73420
248	25467	73335
249	25577	73253
250	25680	73153
251	25771	73018
252	25853	72860
253	25951	72745
254	26040	72605
255	26135	72483
256	26227	72356
257	26313	72210
258	26413	72101
259	26511	71987
260	26603	71861
261	26705	71758
262	26834	71728
263	26948	71659
264	27036	71518
265	27144	71432
266	27234	71300
267	27311	71131
268	27407	71015
269	27516	70931
270	27631	70862
271	27738	70774
272	27846	70687
273	27970	70640
274	28073	70541
275	28190	70476
276	28303	70400
277	28397	70278
278	28497	70171
279	28622	70126
280	28738	70056
281	28847	69971
282	28939	69843
283	29068	69806
284	29155	69667
285	29262	69574
286	29364	69472
287	29467	69372
288	29571	69274
289	29692	69213
290	29789	69099
291	29917	69054
292	30005	68920
293	30116	68838
294	30223	68746
295	30330	68652
296	30438	68563
297	30537	68453
298	30633	68337
299	30738	68238
300	30836	68126
301	30962	68077
302	31064	67973
303	31184	67907
304	31304	67843
305	31391	67707
306	31507	67632
307	31604	67518
308	31692	67384
309	31832	67360
310	31947	67283
311	32067	67218
312	32179	67134
313	32280	67027
314	32404	66969
315	32518	66890
316	32616	66775
317	32709	66653
318	32829	66585
319	32951	66521
320	33060	66430
321	33153	66307
322	33251	66194
323	33357	66097
324	33488	66049
325	33613	65989
326	33704	65863
327	33830	65803
328	33928	65691
329	34039	65603
330	34136	65487
331	34225	65359
332	34319	65238
333	34410	65112
334	34520	65021
335	34611	64896
336	34710	64786
337	34801	64660
338	34919	64585
339	35022	64482
340	35127	64382
341	35246	64309
342	35343	64194
343	35455	64109
344	35578	64041
345	35676	63928
346	35788	63842
347	35876	63712
348	35978	63605
349	36073	63489
350	36171	63377
351	36269	63266
352	36362	63145
353	36452	63020
354	36581	62962
355	36675	62843
356	36784	62750
357	36872	62621
358	36970	62509
359	37065	62393
360	37160	62276
361	37256	62162
362	37344	62035
363	37440	61921
364	37566	61855
365	37655	61730
366	37732	61584
367	37815	61450
368	37897	61313
369	37988	61192
370	38075	61065
371	38172	60952
372	38260	60826
373	38363	60725
374	38461	60615
375	38547	60486
376	38658	60398
377	38744	60269
378	38841	60158
379	38948	60062
380	39041	59945
381	39129	59821
382	39233	59720
383	39341	59626
384	39435	59511
385	39522	59386
386	39634	59298
387	39728	59183
388	39830	59080
389	39926	58967
390	40011	58840
391	40097	58714
392	40189	58597
393	40280	58478
394	40373	58362
395	40474	58258
396	40575	58154
397	40688	58068
398	40770	57936
