"Statistic Label","Month","Selected Sub Indices","UNIT","VALUE"
"Consumer Price Index (Base Dec 2016=100)","2022 September","Mortgage Interest","Base Dec 2016=100","116.4"
"Consumer Price Index (Base Dec 2016=100)","2022 October","Mortgage Interest","Base Dec 2016=100","124.9"
"Consumer Price Index (Base Dec 2016=100)","2022 November","Mortgage Interest","Base Dec 2016=100","131.6"
"Consumer Price Index (Base Dec 2016=100)","2022 December","Mortgage Interest","Base Dec 2016=100","133.3"
"Consumer Price Index (Base Dec 2016=100)","2023 January","Mortgage Interest","Base Dec 2016=100","139.3"
"Consumer Price Index (Base Dec 2016=100)","2023 February","Mortgage Interest","Base Dec 2016=100","145.3"
"Consumer Price Index (Base Dec 2016=100)","2023 March","Mortgage Interest","Base Dec 2016=100","149.5"
"Consumer Price Index (Base Dec 2016=100)","2023 April","Mortgage Interest","Base Dec 2016=100","156.7"
"Consumer Price Index (Base Dec 2016=100)","2023 May","Mortgage Interest","Base Dec 2016=100","160.4"
"Consumer Price Index (Base Dec 2016=100)","2023 June","Mortgage Interest","Base Dec 2016=100","163.7"
"Consumer Price Index (Base Dec 2016=100)","2023 July","Mortgage Interest","Base Dec 2016=100","167.4"
"Consumer Price Index (Base Dec 2016=100)","2023 August","Mortgage Interest","Base Dec 2016=100","171.7"
"Consumer Price Index (Base Dec 2016=100)","2023 September","Mortgage Interest","Base Dec 2016=100","174"
"Consumer Price Index (Base Dec 2016=100)","2023 October","Mortgage Interest","Base Dec 2016=100","176.9"
"Consumer Price Index (Base Dec 2016=100)","2023 November","Mortgage Interest","Base Dec 2016=100","180.3"
"Consumer Price Index (Base Dec 2016=100)","2023 December","Mortgage Interest","Base Dec 2016=100","182.2"
"Consumer Price Index (Base Dec 2016=100)","2024 January","Mortgage Interest","Base Dec 2016=100","183.6"
"Consumer Price Index (Base Dec 2016=100)","2024 February","Mortgage Interest","Base Dec 2016=100","185.7"
"Consumer Price Index (Base Dec 2016=100)","2024 March","Mortgage Interest","Base Dec 2016=100","187.2"
"Consumer Price Index (Base Dec 2016=100)","2024 April","Mortgage Interest","Base Dec 2016=100","189.2"
"Consumer Price Index (Base Dec 2016=100)","2024 May","Mortgage Interest","Base Dec 2016=100","190.2"
"Consumer Price Index (Base Dec 2016=100)","2024 June","Mortgage Interest","Base Dec 2016=100","191.7"
"Consumer Price Index (Base Dec 2016=100)","2024 July","Mortgage Interest","Base Dec 2016=100","191.7"
"Consumer Price Index (Base Dec 2016=100)","2024 August","Mortgage Interest","Base Dec 2016=100","192.7"
"Consumer Price Index (Base Dec 2016=100)","2024 September","Mortgage Interest","Base Dec 2016=100","193.7"
"Consumer Price Index (Base Dec 2016=100)","2024 October","Mortgage Interest","Base Dec 2016=100","191.4"
"Consumer Price Index (Base Dec 2016=100)","2024 November","Mortgage Interest","Base Dec 2016=100","189.7"
"Consumer Price Index (Base Dec 2016=100)","2024 December","Mortgage Interest","Base Dec 2016=100","190.7"
"Consumer Price Index (Base Dec 2016=100)","2025 January","Mortgage Interest","Base Dec 2016=100","190.7"
"Consumer Price Index (Base Dec 2016=100)","2025 February","Mortgage Interest","Base Dec 2016=100","190.1"
"Consumer Price Index (Base Dec 2016=100)","2025 March","Mortgage Interest","Base Dec 2016=100","191.1"
"Consumer Price Index (Base Dec 2016=100)","2025 April","Mortgage Interest","Base Dec 2016=100","190.5"
"Consumer Price Index (Base Dec 2016=100)","2025 May","Mortgage Interest","Base Dec 2016=100","189.8"
"Consumer Price Index (Base Dec 2016=100)","2025 June","Mortgage Interest","Base Dec 2016=100","190.8"
"Consumer Price Index (Base Dec 2016=100)","2025 July","Mortgage Interest","Base Dec 2016=100","190.7"
"Consumer Price Index (Base Dec 2016=100)","2025 August","Mortgage Interest","Base Dec 2016=100","191.1"
"Consumer Price Index (Base Dec 2016=100)","2025 September","Mortgage Interest","Base Dec 2016=100","192.7"
"Consumer Price Index (Base Dec 2016=100)","2025 October","Mortgage Interest","Base Dec 2016=100","194.4"
"Consumer Price Index (Base Dec 2016=100)","2025 November","Mortgage Interest","Base Dec 2016=100","196"
"Consumer Price Index (Base Dec 2016=100)","2025 December","Mortgage Interest","Base Dec 2016=100","197.1"
