"Statistic Label","Year","Age Group","Sex","County","UNIT","VALUE"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Cork","Thousand","604.4"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Cavan","Thousand","83.8"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Carlow","Thousand","64.2"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Donegal","Thousand","179.3"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Dublin","Thousand","1534.9"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Galway","Thousand","286.7"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Kildare","Thousand","252.7"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Kilkenny","Thousand","110.4"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Kerry","Thousand","169"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Longford","Thousand","46.1"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Louth","Thousand","144.3"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Limerick","Thousand","217.1"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Leitrim","Thousand","36.3"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Laois","Thousand","95.4"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Meath","Thousand","224.8"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Monaghan","Thousand","67.9"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Mayo","Thousand","148.8"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Offaly","Thousand","89"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Roscommon","Thousand","73.5"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Sligo","Thousand","72.5"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Tipperary","Thousand","180.1"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Waterford","Thousand","130.8"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Wicklow","Thousand","163.3"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Westmeath","Thousand","100.5"
"Estimated Population (Persons in April)","2024","All ages","Both sexes","Co. Wexford","Thousand","169.4"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Clare","Thousand","136.4"
"Estimated Population (Persons in April)","2025","All ages","Both sexes","Co. Cork","Thousand","612.9"
