"Statistic Label","Year","County","UNIT","VALUE"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Meath","State=100","90.5201664024749"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Monaghan","State=100","96.0638752802693"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Offaly","State=100","86.886556688865"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Roscommon","State=100","95.0559760864516"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Sligo","State=100","96.7638959684911"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Tipperary","State=100","106.492081691422"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Waterford","State=100","101.658423867443"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Westmeath","State=100","97.3238077178513"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Wexford","State=100","98.9824205469563"
"Index of Disposable Income per Person (excluding Rent)","2021","Co. Wicklow","State=100","97.0819316737769"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Carlow","State=100","107.391512977087"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Cavan","State=100","94.5774325700793"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Clare","State=100","93.4192367388665"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Cork","State=100","106.738189340982"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Donegal","State=100","86.5002646623215"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Dublin","State=100","105.366058578366"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Galway","State=100","100.282390534218"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Kerry","State=100","99.6174386025059"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Kildare","State=100","95.0857537638808"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Kilkenny","State=100","94.7302111501646"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Laois","State=100","83.5756011693501"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Leitrim","State=100","94.4164565792698"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Limerick","State=100","104.210261247491"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Longford","State=100","86.8439101090034"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Louth","State=100","93.4132070246459"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Mayo","State=100","95.9614760178662"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Meath","State=100","89.0350030476527"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Monaghan","State=100","96.0134820916796"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Offaly","State=100","87.9399118303755"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Roscommon","State=100","91.9655529321911"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Sligo","State=100","94.2425129284864"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Tipperary","State=100","108.373240373728"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Waterford","State=100","100.390749756613"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Westmeath","State=100","96.5927334965531"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Wexford","State=100","99.0883913160256"
"Index of Disposable Income per Person (excluding Rent)","2022","Co. Wicklow","State=100","97.9209056445945"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Carlow","State=100","105.347634464309"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Cavan","State=100","93.1867689707342"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Clare","State=100","90.7364062335216"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Cork","State=100","104.163706251377"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Donegal","State=100","85.9589599687569"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Dublin","State=100","106.100436507657"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Galway","State=100","98.635512252286"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Kerry","State=100","96.2680563095399"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Kildare","State=100","99.1718354956034"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Kilkenny","State=100","96.635949648311"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Laois","State=100","85.4898018798288"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Leitrim","State=100","90.154118829492"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Limerick","State=100","103.650387516981"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Longford","State=100","84.6357243269473"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Louth","State=100","97.496105390206"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Mayo","State=100","95.7812444416716"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Meath","State=100","91.2034909055188"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Monaghan","State=100","95.2142398799374"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Offaly","State=100","90.540710925855"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Roscommon","State=100","88.3549916245935"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Sligo","State=100","92.4938259882978"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Tipperary","State=100","107.678609241072"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Waterford","State=100","101.903338592684"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Westmeath","State=100","97.2470296911999"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Wexford","State=100","97.8034448048528"
"Index of Disposable Income per Person (excluding Rent)","2023","Co. Wicklow","State=100","99.9818046473177"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Carlow","State=100","105.185640495592"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Cavan","State=100","91.1842246594227"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Clare","State=100","88.3000867146939"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Cork","State=100","103.233223815003"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Donegal","State=100","85.5471644608644"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Dublin","State=100","106.16308714576"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Galway","State=100","97.9986319619076"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Kerry","State=100","94.1970938364666"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Kildare","State=100","103.893959865215"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Kilkenny","State=100","96.6134714832123"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Laois","State=100","87.3813227376908"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Leitrim","State=100","86.2924210769582"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Limerick","State=100","103.652986028569"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Longford","State=100","80.9476245245688"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Louth","State=100","104.167732948795"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Mayo","State=100","93.9506333192892"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Meath","State=100","91.2364900087781"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Monaghan","State=100","93.422833824623"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Offaly","State=100","93.2979918616376"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Roscommon","State=100","85.2230588232531"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Sligo","State=100","91.6128423368451"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Tipperary","State=100","107.024581210983"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Waterford","State=100","100.803028206718"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Westmeath","State=100","98.7382301008844"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Wexford","State=100","96.0842530330468"
"Index of Disposable Income per Person (excluding Rent)","2024","Co. Wicklow","State=100","102.716248735003"
"Persons at Work","2016","Co. Carlow","Thousand","26.7099737182865"
"Persons at Work","2016","Co. Cavan","Thousand","35.4714782232705"
"Persons at Work","2016","Co. Clare","Thousand","50.7698609951818"
"Persons at Work","2016","Co. Cork","Thousand","258.932015439837"
"Persons at Work","2016","Co. Donegal","Thousand","58.3407335244701"
"Persons at Work","2016","Co. Dublin","Thousand","748.611480787359"
"Persons at Work","2016","Co. Galway","Thousand","117.593515483111"
"Persons at Work","2016","Co. Kerry","Thousand","51.0402387785626"
"Persons at Work","2016","Co. Kildare","Thousand","87.3343934940636"
"Persons at Work","2016","Co. Kilkenny","Thousand","39.9626742159274"
"Persons at Work","2016","Co. Laois","Thousand","30.3530402818482"
"Persons at Work","2016","Co. Leitrim","Thousand","15.5795367563083"
"Persons at Work","2016","Co. Limerick","Thousand","94.6378910157105"
"Persons at Work","2016","Co. Longford","Thousand","10.1152514022261"
"Persons at Work","2016","Co. Louth","Thousand","43.0504789135736"
"Persons at Work","2016","Co. Mayo","Thousand","50.0021501549028"
"Persons at Work","2016","Co. Meath","Thousand","42.95644539942"
"Persons at Work","2016","Co. Monaghan","Thousand","36.6175667193496"
"Persons at Work","2016","Co. Offaly","Thousand","26.38841318122"
"Persons at Work","2016","Co. Roscommon","Thousand","16.067089323209"
"Persons at Work","2016","Co. Sligo","Thousand","23.7312099289523"
"Persons at Work","2016","Co. Tipperary","Thousand","60.9514703766818"
"Persons at Work","2016","Co. Waterford","Thousand","60.9671938936005"
"Persons at Work","2016","Co. Westmeath","Thousand","35.7912406433471"
"Persons at Work","2016","Co. Wexford","Thousand","47.2895626653524"
"Persons at Work","2016","Co. Wicklow","Thousand","62.1172929256274"
"Persons at Work","2017","Co. Carlow","Thousand","26.0070630040804"
"Persons at Work","2017","Co. Cavan","Thousand","38.4526803235683"
"Persons at Work","2017","Co. Clare","Thousand","53.6183844194252"
"Persons at Work","2017","Co. Cork","Thousand","268.957414574126"
"Persons at Work","2017","Co. Donegal","Thousand","64.0388812335423"
"Persons at Work","2017","Co. Dublin","Thousand","766.398429166251"
"Persons at Work","2017","Co. Galway","Thousand","128.992425725244"
"Persons at Work","2017","Co. Kerry","Thousand","49.9585804931212"
"Persons at Work","2017","Co. Kildare","Thousand","85.5771011916365"
"Persons at Work","2017","Co. Kilkenny","Thousand","42.8272649108194"
"Persons at Work","2017","Co. Laois","Thousand","34.5994328458432"
"Persons at Work","2017","Co. Leitrim","Thousand","12.94584513666"
"Persons at Work","2017","Co. Limerick","Thousand","99.0836816471674"
"Persons at Work","2017","Co. Longford","Thousand","14.0698293234731"
"Persons at Work","2017","Co. Louth","Thousand","54.1961504989875"
"Persons at Work","2017","Co. Mayo","Thousand","47.1455644698882"
"Persons at Work","2017","Co. Meath","Thousand","55.4860710405232"
"Persons at Work","2017","Co. Monaghan","Thousand","28.0266260415094"
"Persons at Work","2017","Co. Offaly","Thousand","29.4980698351352"
"Persons at Work","2017","Co. Roscommon","Thousand","18.5183649816092"
"Persons at Work","2017","Co. Sligo","Thousand","30.2400081874931"
"Persons at Work","2017","Co. Tipperary","Thousand","60.6594495371238"
"Persons at Work","2017","Co. Waterford","Thousand","53.1621691845406"
"Persons at Work","2017","Co. Westmeath","Thousand","29.5434917531926"
"Persons at Work","2017","Co. Wexford","Thousand","53.8914834692177"
"Persons at Work","2017","Co. Wicklow","Thousand","52.0759874675217"
"Persons at Work","2018","Co. Carlow","Thousand","21.4387068932721"
"Persons at Work","2018","Co. Cavan","Thousand","30.6238981147464"
"Persons at Work","2018","Co. Clare","Thousand","48.7549851698222"
"Persons at Work","2018","Co. Cork","Thousand","270.64808201021"
"Persons at Work","2018","Co. Donegal","Thousand","65.3053543437204"
"Persons at Work","2018","Co. Dublin","Thousand","802.014895936917"
"Persons at Work","2018","Co. Galway","Thousand","126.802917843977"
"Persons at Work","2018","Co. Kerry","Thousand","55.727471749158"
"Persons at Work","2018","Co. Kildare","Thousand","92.3392148287188"
"Persons at Work","2018","Co. Kilkenny","Thousand","43.5967789643512"
"Persons at Work","2018","Co. Laois","Thousand","30.0749724804985"
"Persons at Work","2018","Co. Leitrim","Thousand","11.8756328382813"
"Persons at Work","2018","Co. Limerick","Thousand","100.335136804727"
"Persons at Work","2018","Co. Longford","Thousand","14.3950909775056"
"Persons at Work","2018","Co. Louth","Thousand","56.6745031674757"
"Persons at Work","2018","Co. Mayo","Thousand","50.4268815775388"
"Persons at Work","2018","Co. Meath","Thousand","66.6377137533219"
"Persons at Work","2018","Co. Monaghan","Thousand","28.844283244882"
"Persons at Work","2018","Co. Offaly","Thousand","27.362749201471"
"Persons at Work","2018","Co. Roscommon","Thousand","22.5599804167616"
"Persons at Work","2018","Co. Sligo","Thousand","31.5211154504135"
"Persons at Work","2018","Co. Tipperary","Thousand","64.7870215028896"
"Persons at Work","2018","Co. Waterford","Thousand","50.9320854865944"
"Persons at Work","2018","Co. Westmeath","Thousand","44.4269523148699"
"Persons at Work","2018","Co. Wexford","Thousand","62.7522425818267"
"Persons at Work","2018","Co. Wicklow","Thousand","43.2769274518493"
"Persons at Work","2019","Co. Carlow","Thousand","24.4832743346835"
"Persons at Work","2019","Co. Cavan","Thousand","30.7182957667148"
"Persons at Work","2019","Co. Clare","Thousand","49.8546932961433"
"Persons at Work","2019","Co. Cork","Thousand","280.966511890589"
"Persons at Work","2019","Co. Donegal","Thousand","65.2516707399206"
"Persons at Work","2019","Co. Dublin","Thousand","832.336533989395"
"Persons at Work","2019","Co. Galway","Thousand","132.04138746676"
"Persons at Work","2019","Co. Kerry","Thousand","50.2210586242041"
"Persons at Work","2019","Co. Kildare","Thousand","95.8109724230186"
"Persons at Work","2019","Co. Kilkenny","Thousand","45.3542036881269"
"Persons at Work","2019","Co. Laois","Thousand","32.2355018474626"
"Persons at Work","2019","Co. Leitrim","Thousand","11.6174524635793"
"Persons at Work","2019","Co. Limerick","Thousand","99.9086203179617"
"Persons at Work","2019","Co. Longford","Thousand","13.7488073306254"
"Persons at Work","2019","Co. Louth","Thousand","55.9809964496282"
"Persons at Work","2019","Co. Mayo","Thousand","51.8790609551053"
"Persons at Work","2019","Co. Meath","Thousand","70.608099790931"
"Persons at Work","2019","Co. Monaghan","Thousand","29.7852446597233"
"Persons at Work","2019","Co. Offaly","Thousand","27.3195177191758"
